,headline,emotion
436,Colin Kaepernick Is Righter Than You Know: The National Anthem Is a Celebration of Slavery,fear
437,Colin Kaepernick Is Righter Than You Know: The National Anthem Is a Celebration of Slavery,neutral
438,Colombian intelligence agency's latest scandal: leaking docs to drug lord,disgust
439,Colombian intelligence agency's latest scandal: leaking docs to drug lord,surprise
440,Committee finds $9.6 billion for $109B Senate transportation bill,surprise
441,Committee finds $9.6 billion for $109B Senate transportation bill,neutral
442,Compassionate Action,neutral
443,Compassionate Action,sadness
444,Congress: We must invest in students of color,surprise
445,Congress: We must invest in students of color,neutral
446,"Construction, weather plague summer drivers",sadness
447,"Construction, weather plague summer drivers",anger
448,Convicted Attorney Lynne Stewart: ¡°You Can¡¯t Lock Up the Lawyers¡±,surprise
449,Convicted Attorney Lynne Stewart: ¡°You Can¡¯t Lock Up the Lawyers¡±,anger
450,Cops Hold 11-Year-Old Girl at Gunpoint Responding to Burglary Call at Her House,anger
451,Cops Hold 11-Year-Old Girl at Gunpoint Responding to Burglary Call at Her House,neutral
452,Cornel West on Donald Trump: This is What Neo-Fascism Looks Like,neutral
453,Cornel West on Donald Trump: This is What Neo-Fascism Looks Like,neutral
454,Cory Booker Wants The Social Justice Mantle On Marijuana,neutral
455,Cory Booker Wants The Social Justice Mantle On Marijuana,neutral
456,Costa Concordia company offers passengers compensation,sadness
457,Costa Concordia company offers passengers compensation,neutral
458,Could new royalty rates kill iTunes?,neutral
459,Could new royalty rates kill iTunes?,surprise
460,"Counter-Terror Chief: Europe Home to ¡®More than 50,000¡¯ Islamic Radicals ¡ª With Up To 25,000 in UK",fear
461,"Counter-Terror Chief: Europe Home to ¡®More than 50,000¡¯ Islamic Radicals ¡ª With Up To 25,000 in UK",disgust
462,Court In China Accepts Gay Man's Lawsuit Demanding Marriage Rights,neutral
463,Court In China Accepts Gay Man's Lawsuit Demanding Marriage Rights,surprise
464,"Court record shows Kansas military school received 339 student complaints about hazing, abuse",neutral
465,"Court record shows Kansas military school received 339 student complaints about hazing, abuse",sadness
466,Court: Law against encouraging illegal immigration could violate First Amendment,fear
467,Court: Law against encouraging illegal immigration could violate First Amendment,surprise
468,Cover Image: Betting On China's Banks,neutral
469,Cover Image: Betting On China's Banks,neutral
470,"Credit Suisse Reduces Profit Goal, Dividend on Capital Rules",neutral
471,"Credit Suisse Reduces Profit Goal, Dividend on Capital Rules",neutral
472,Crime writers with killer ideas,neutral
473,Crime writers with killer ideas,joy
474,"Crypto, a New Movie About Bitcoin Crime, Doesn¡¯t Get Bitcoin",surprise
475,"Crypto, a New Movie About Bitcoin Crime, Doesn¡¯t Get Bitcoin",neutral
476,Culture ¡ª Not Genetics ¡ª Is the Key to Success,surprise
477,Culture ¡ª Not Genetics ¡ª Is the Key to Success,surprise
478,Czech Republic Pass Resolution Condemning BDS Movement Against Israel as Anti-Semitic,joy
479,Czech Republic Pass Resolution Condemning BDS Movement Against Israel as Anti-Semitic,neutral
480,D.C. crisis could jump-start the case for reform,neutral
481,D.C. crisis could jump-start the case for reform,neutral
482,DC Voting Rights Debacle,disgust
483,DC Voting Rights Debacle,disgust
484,Dahr Jamail: Beyond the Green Zone,neutral
485,Dahr Jamail: Beyond the Green Zone,neutral
486,"Daily Call Sheet: Mel Gibson Wants to Change Everything, ESPN Fights Back, True Crime-a-Palooza",disgust
487,"Daily Call Sheet: Mel Gibson Wants to Change Everything, ESPN Fights Back, True Crime-a-Palooza",neutral
488,Dancing With The Stars: Sailor Brinkley-Cook impresses as she steps in after mom Christie breaks arm during practice,surprise
489,Dancing With The Stars: Sailor Brinkley-Cook impresses as she steps in after mom Christie breaks arm during practice,neutral
490,Dark Phoenix is a joyless retelling of the X-Men¡¯s most famous story,disgust
491,Dark Phoenix is a joyless retelling of the X-Men¡¯s most famous story,disgust
492,Dashboard Confessional and Justin Timberlake Age Poorly,joy
493,Dashboard Confessional and Justin Timberlake Age Poorly,surprise
494,"Deal Talk Lifts Yahoo, Reuters",neutral
495,"Deal Talk Lifts Yahoo, Reuters",surprise
496,Democrats aren¡¯t sure Bloomberg should run for president. A new poll suggests voters aren¡¯t either.,surprise
497,Democrats aren¡¯t sure Bloomberg should run for president. A new poll suggests voters aren¡¯t either.,surprise
498,"Dennis King, a Romney cheerleader, is on a lonely mission at RNC",neutral
499,"Dennis King, a Romney cheerleader, is on a lonely mission at RNC",neutral
500,Departing Chief of L.I.R.R. Sees Progress and Concerns,neutral
501,Departing Chief of L.I.R.R. Sees Progress and Concerns,neutral
502,Deputy mayor of Afghanistan's Kandahar shot dead,joy
503,Deputy mayor of Afghanistan's Kandahar shot dead,sadness
504,"Despite All Issue 3's Flaws, It Felt GREAT Voting for Legal Pot in Ohio",joy
505,"Despite All Issue 3's Flaws, It Felt GREAT Voting for Legal Pot in Ohio",joy
506,"Despite Ceasefire, Humanitarian Crisis Continues in Gaza with 500,000 Displaced & 10,000 Injured",sadness
507,"Despite Ceasefire, Humanitarian Crisis Continues in Gaza with 500,000 Displaced & 10,000 Injured",anger
508,Diagnosing Conservatives,neutral
509,Diagnosing Conservatives,neutral
510,Did Southern Culture Kill NASCAR Star Kevin Ward Jr?,sadness
511,Did Southern Culture Kill NASCAR Star Kevin Ward Jr?,disgust
512,Diet Pepsi dropping aspartame on customer concerns,neutral
513,Diet Pepsi dropping aspartame on customer concerns,neutral
514,Dissolve the Federal Election Commission,disgust
515,Dissolve the Federal Election Commission,joy
516,Doctored Watson,neutral
517,Doctored Watson,neutral
518,Doctors Without Borders: Sierra Leone Ebola Outbreak 'Catastrophic',fear
519,Doctors Without Borders: Sierra Leone Ebola Outbreak 'Catastrophic',sadness
520,Documents Show U.S. Military Expands Reach of Special Operations Programs,neutral
521,Documents Show U.S. Military Expands Reach of Special Operations Programs,neutral
522,Dollar Stores' Struggles Eluded by One That Accepts Loonies,disgust
523,Dollar Stores' Struggles Eluded by One That Accepts Loonies,fear
524,Donald Trump's Huge Night In New Hampshire,joy
525,Donald Trump's Huge Night In New Hampshire,neutral
526,"Donald Trump: 'I Could ... Shoot Somebody, And I Wouldn't Lose Any Voters'",sadness
527,"Donald Trump: 'I Could ... Shoot Somebody, And I Wouldn't Lose Any Voters'",fear
528,"Doncic, Hardaway Jr. lead Mavs to 137-123 rout of Rockets",surprise
529,"Doncic, Hardaway Jr. lead Mavs to 137-123 rout of Rockets",neutral
530,"Don¡¯t Look Now, But The Democrat Party Is Imploding",sadness
531,"Don¡¯t Look Now, But The Democrat Party Is Imploding",neutral
532,Don¡¯t be fooled ¨C these free-speech obsessives approve of no-platforming,anger
533,Don¡¯t be fooled ¨C these free-speech obsessives approve of no-platforming,neutral
534,Drew Peterson: Casey Anthony Verdict Pleasing,disgust
535,Drew Peterson: Casey Anthony Verdict Pleasing,surprise
536,Drug Companies Can Lower Prices or Have Trump Lower Them for Them,surprise
537,Drug Companies Can Lower Prices or Have Trump Lower Them for Them,neutral
538,Duchy urges River Avon netters to stop,sadness
539,Duchy urges River Avon netters to stop,neutral
540,"Durbin, Obama linked to defunct Chicago nonprofit under investigation",disgust
541,"Durbin, Obama linked to defunct Chicago nonprofit under investigation",fear
542,E! People's Choice Awards nominees include Shawn Mendes and Scarlett Johansson,joy
543,E! People's Choice Awards nominees include Shawn Mendes and Scarlett Johansson,neutral
544,"E.C.B.¡¯s Bond-Buying Program Is Legal, Adviser to Appeals Court Says",surprise
545,"E.C.B.¡¯s Bond-Buying Program Is Legal, Adviser to Appeals Court Says",joy
546,ETF Investors Are Ditching Corporate Credit for Treasuries,surprise
547,ETF Investors Are Ditching Corporate Credit for Treasuries,neutral
548,Edward Snowden says he laughed at Neil Patrick Harris' treason joke,sadness
549,Edward Snowden says he laughed at Neil Patrick Harris' treason joke,neutral
550,Egypt Constitution-Writing Committee to Include 50 Lawmakers,neutral
551,Egypt Constitution-Writing Committee to Include 50 Lawmakers,neutral
552,Egypt's liberals walk out of constitution meeting,disgust
553,Egypt's liberals walk out of constitution meeting,disgust
554,Egyptian Christian sentenced to 6 years in prison for contempt of religion,neutral
555,Egyptian Christian sentenced to 6 years in prison for contempt of religion,fear
556,Election Oracle: Newt's Chances of Winning Nomination Soar,surprise
557,Election Oracle: Newt's Chances of Winning Nomination Soar,disgust
558,Ella Baker¡¯s Radical Democratic Vision,anger
559,Ella Baker¡¯s Radical Democratic Vision,neutral
560,En Tiempo Real: El presidente del Poder Judicial de Jalisco pide licencia para separarse de su cargo,neutral
561,En Tiempo Real: El presidente del Poder Judicial de Jalisco pide licencia para separarse de su cargo,sadness
562,Enjoy the Fun of Failure. At Least Try.,joy
563,Enjoy the Fun of Failure. At Least Try.,sadness
564,"Equifax apologizes again, lays out costs going forward",disgust
565,"Equifax apologizes again, lays out costs going forward",neutral
566,"Espada changes course, will attend special session in Albany",disgust
567,"Espada changes course, will attend special session in Albany",neutral
568,Europe Dupes Bartering with Iran,neutral
569,Europe Dupes Bartering with Iran,neutral
570,Europe plans large lunar lander,surprise
571,Europe plans large lunar lander,joy
572,European Wedding,disgust
573,European Wedding,joy
574,Even Eisenhower and Cheney Got Lost in the Pentagon,surprise
575,Even Eisenhower and Cheney Got Lost in the Pentagon,surprise
576,Even Women With Headphones May Want A Man To Chase Them,neutral
577,Even Women With Headphones May Want A Man To Chase Them,anger
578,Ever-Tightening Security Creates Misery for Senior Fliers,sadness
579,Ever-Tightening Security Creates Misery for Senior Fliers,fear
580,Ex-DHS staffer says he quit over Trump administration's handling of family separation policy,neutral
581,Ex-DHS staffer says he quit over Trump administration's handling of family separation policy,joy
582,Ex-Im Bank spokesman wades into Twitter fight (on a holiday) over the fate of his agency,anger
583,Ex-Im Bank spokesman wades into Twitter fight (on a holiday) over the fate of his agency,neutral
584,Ex-NFL player: League ignoring First Amendment to suck up to ¡®petty tyrant¡¯ Trump,neutral
585,Ex-NFL player: League ignoring First Amendment to suck up to ¡®petty tyrant¡¯ Trump,disgust
586,Execute Murderers ¡ª Don¡¯t Make Them Future Escapees,fear
587,Execute Murderers ¡ª Don¡¯t Make Them Future Escapees,fear
588,Expectations High For Clinton In New Hampshire,neutral
589,Expectations High For Clinton In New Hampshire,neutral
590,"Explosion hits fertilizer plant north of Waco, Texas",surprise
591,"Explosion hits fertilizer plant north of Waco, Texas",neutral
592,Exposing corrupt prosecutors,disgust
593,Exposing corrupt prosecutors,neutral
594,FANTASY PLAYS: Don't buy into hype of deep WR pool,neutral
595,FANTASY PLAYS: Don't buy into hype of deep WR pool,neutral
596,FDA approves new osteoporosis drug for postmenopausal women,neutral
597,FDA approves new osteoporosis drug for postmenopausal women,neutral
598,FLASHBACK: When Trump Endorsed Eminem For ¡®President¡¯,surprise
599,FLASHBACK: When Trump Endorsed Eminem For ¡®President¡¯,surprise
600,Facebook Catered to Anti-Semites,disgust
601,Facebook Catered to Anti-Semites,anger
602,Facebook bans company that helped elect Trump,joy
603,Facebook bans company that helped elect Trump,joy
604,Facebook's wounds are self-inflicted,disgust
605,Facebook's wounds are self-inflicted,disgust
606,"FactChecking the second Democratic debate: Climate change, gun violence, tax cuts",neutral
607,"FactChecking the second Democratic debate: Climate change, gun violence, tax cuts",neutral
608,Falcons Romp to 56-14 Win over Hapless Buccaneers,surprise
609,Falcons Romp to 56-14 Win over Hapless Buccaneers,joy
610,Fan who scored Oakland A's contract with viral 96-mph pitch makes professional debut,joy
611,Fan who scored Oakland A's contract with viral 96-mph pitch makes professional debut,surprise
612,"Favored Tide, underdog Spartans: Roles both teams relish",disgust
613,"Favored Tide, underdog Spartans: Roles both teams relish",joy
614,Feds want Texas to clear voting-rights changes with them,joy
615,Feds want Texas to clear voting-rights changes with them,neutral
616,Fidel in Harlem,neutral
617,Fidel in Harlem,fear
618,Fight Over Holy Sites Clouds New Mideast Peace Bid,anger
619,Fight Over Holy Sites Clouds New Mideast Peace Bid,neutral
620,Filibuster reform may sway debt talks,fear
621,Filibuster reform may sway debt talks,neutral
622,Final 'Harry Potter' Answers Mystifying Questions,neutral
623,Final 'Harry Potter' Answers Mystifying Questions,surprise
624,Financial Crisis Likely to Contribute to Premium Cabin Weakness,neutral
625,Financial Crisis Likely to Contribute to Premium Cabin Weakness,fear
626,Find Your Polling Place,neutral
627,Find Your Polling Place,fear
628,Firm Proposes Hospital Next to D.C. General,neutral
629,Firm Proposes Hospital Next to D.C. General,neutral
630,First Sochi Gold Medal Winner Decided at the Last Minute to Do a Jump He¡¯d Never Tried Before,neutral
631,First Sochi Gold Medal Winner Decided at the Last Minute to Do a Jump He¡¯d Never Tried Before,surprise
632,Five Fights to Watch,neutral
633,Five Fights to Watch,neutral
634,Flattering the Met: Critics too kind to pathetic Opera,anger
635,Flattering the Met: Critics too kind to pathetic Opera,disgust
636,Flight Time,neutral
637,Flight Time,neutral
638,Floyd Mayweather v Manny Pacquiao big fight survey: what the experts say,neutral
639,Floyd Mayweather v Manny Pacquiao big fight survey: what the experts say,neutral
640,Fmr DNC Chair Rendell: 2020 Went From Dem ¡®Slam Dunk¡¯ ¡®to Something Where We¡¯re Going to Have Trouble¡¯,neutral
641,Fmr DNC Chair Rendell: 2020 Went From Dem ¡®Slam Dunk¡¯ ¡®to Something Where We¡¯re Going to Have Trouble¡¯,fear
642,Ford¡¯s Past in Argentina,neutral
643,Ford¡¯s Past in Argentina,sadness
644,Forget Rutgers Coach Mike Rice: College Sports Abuses Virtually All Students,neutral
645,Forget Rutgers Coach Mike Rice: College Sports Abuses Virtually All Students,disgust
646,Former Defense Secretary Predicted: Manchester a 'Harbinger' of More Attacks,neutral
647,Former Defense Secretary Predicted: Manchester a 'Harbinger' of More Attacks,neutral
648,Former Egyptian President Mohammed Morsi Sentenced To Death,fear
649,Former Egyptian President Mohammed Morsi Sentenced To Death,sadness
650,Former FBI Director Defends Metadata Collection,neutral
651,Former FBI Director Defends Metadata Collection,neutral
652,Former Sen. Max Cleland,neutral
653,Former Sen. Max Cleland,neutral
654,Foster's CEO Steps Down; Forecast Cut,neutral
655,Foster's CEO Steps Down; Forecast Cut,sadness
656,Fox's Watters: 'No one blamed' Obama for 'anti-police rhetoric' when cops were shot during his term,disgust
657,Fox's Watters: 'No one blamed' Obama for 'anti-police rhetoric' when cops were shot during his term,anger
658,France UMP crisis: Ex-PM Juppe 'fails to resolve crisis',sadness
659,France UMP crisis: Ex-PM Juppe 'fails to resolve crisis',fear
660,France¡¯s presidential election is tearing its left apart,sadness
661,France¡¯s presidential election is tearing its left apart,anger
662,Free breakfasts in Blackpool primary schools 'success',surprise
663,Free breakfasts in Blackpool primary schools 'success',neutral
664,French Connection loss only a temporary fcuk up,anger
665,French Connection loss only a temporary fcuk up,neutral
666,Friday¡¯s Sports In Brief,neutral
667,Friday¡¯s Sports In Brief,neutral
668,Frosted Glass Falcons and Other Gifts for Your Favorite CIA Employee,neutral
669,Frosted Glass Falcons and Other Gifts for Your Favorite CIA Employee,joy
670,Full text: Pelosi and Schumer respond to Trump's immigration speech,neutral
671,Full text: Pelosi and Schumer respond to Trump's immigration speech,neutral
672,GAO: Defense Department Wasting Millions on Satellite Communications,disgust
673,GAO: Defense Department Wasting Millions on Satellite Communications,disgust
674,GMC unveils urban truck concept in Detroit,surprise
675,GMC unveils urban truck concept in Detroit,joy
676,GOP Frosh to Obama: Show Us Your Plan!,neutral
677,GOP Frosh to Obama: Show Us Your Plan!,anger
678,GOP to Florida: No more primary calendar changes,joy
679,GOP to Florida: No more primary calendar changes,neutral
680,GSA Clown-Conference Scandal Could Hurt Other Agencies,anger
681,GSA Clown-Conference Scandal Could Hurt Other Agencies,disgust
682,Game for a laugh... it's the Prince of Gales,joy
683,Game for a laugh... it's the Prince of Gales,joy
684,Garland Watch: Presidential Nominee Trump Makes Supreme Court Justice Garland Slightly More Likely,neutral
685,Garland Watch: Presidential Nominee Trump Makes Supreme Court Justice Garland Slightly More Likely,anger
686,"Garver homers, hurts ankle in Twins¡¯ 4-3 win over Angels",sadness
687,"Garver homers, hurts ankle in Twins¡¯ 4-3 win over Angels",neutral
688,Gates Tours Former Taliban Area In Afghanistan,disgust
689,Gates Tours Former Taliban Area In Afghanistan,neutral
690,Gay ready for smooth career after rough start,neutral
691,Gay ready for smooth career after rough start,joy
692,Gene Healy on Playing Politics With Disaster Relief,fear
693,Gene Healy on Playing Politics With Disaster Relief,neutral
694,Generation X Grows Antsy in Job Market,fear
695,Generation X Grows Antsy in Job Market,surprise
696,German Rail Company Shows Off in London,neutral
697,German Rail Company Shows Off in London,neutral
698,Germany cuts $39M in funds to Brazil for Amazon preservation over deforestation,neutral
699,Germany cuts $39M in funds to Brazil for Amazon preservation over deforestation,joy
700,"Get Well Soon, Daniel Norris",joy
701,"Get Well Soon, Daniel Norris",sadness
702,"Giant pumpkin weighing 2,175 pounds sets California record",neutral
703,"Giant pumpkin weighing 2,175 pounds sets California record",neutral
704,Gingrich to GOP: 'Get something done' on Obamacare repeal,neutral
705,Gingrich to GOP: 'Get something done' on Obamacare repeal,anger
706,Girls Goalie Can Take Boys' Best Shots,joy
707,Girls Goalie Can Take Boys' Best Shots,neutral
708,Give John a Chance,sadness
709,Give John a Chance,neutral
710,Give Money May his due after a perfect 19 years in the ring,neutral
711,Give Money May his due after a perfect 19 years in the ring,joy
712,Giving Prisoners Addictive Drugs: Sometimes a Good Idea,surprise
713,Giving Prisoners Addictive Drugs: Sometimes a Good Idea,surprise
714,Glenn Beck: Breitbart ¡®Spinning In His Grave¡¯ Over Trump¡¯s Bannon Hire,neutral
715,Glenn Beck: Breitbart ¡®Spinning In His Grave¡¯ Over Trump¡¯s Bannon Hire,anger
716,Go Get ¡¯Em Tigers!,joy
717,Go Get ¡¯Em Tigers!,joy
718,GoPro Returns Recalled Karma Drone To Market,neutral
719,GoPro Returns Recalled Karma Drone To Market,anger
720,Golden goal sends Korea into raptures,fear
721,Golden goal sends Korea into raptures,neutral
722,Goldman Sees Rupee Selloff Curbed as Investors Look Beyond Rajan,neutral
723,Goldman Sees Rupee Selloff Curbed as Investors Look Beyond Rajan,fear
724,"Gonzales Grilled by GOP and Dems at Hearing, Says Can¡¯t Recall 50+ Times",surprise
725,"Gonzales Grilled by GOP and Dems at Hearing, Says Can¡¯t Recall 50+ Times",disgust
726,Good News: GOP Will Hold Senate in 2016,joy
727,Good News: GOP Will Hold Senate in 2016,joy
728,Google Lost Data After Lightning Hit Its Data Center in Belgium,surprise
729,Google Lost Data After Lightning Hit Its Data Center in Belgium,surprise
730,Grab Bag: Made For Walking,neutral
731,Grab Bag: Made For Walking,neutral
732,"Greek floods kill 2, Greece-Turkey border river on alert",sadness
733,"Greek floods kill 2, Greece-Turkey border river on alert",sadness
734,"Guatemala asks Swedish, Venezuelan ambassadors to leave",surprise
735,"Guatemala asks Swedish, Venezuelan ambassadors to leave",surprise
736,Guggenheim could be damaged by nearby building construction: lawsuit,disgust
737,Guggenheim could be damaged by nearby building construction: lawsuit,fear
738,Guinevere Turner on Stonewall 50: ¡®The Basic Things We Fought For Seem in Jeopardy. It¡¯s Terrifying.¡¯,fear
739,Guinevere Turner on Stonewall 50: ¡®The Basic Things We Fought For Seem in Jeopardy. It¡¯s Terrifying.¡¯,fear
740,Gunmen kill 21 in Philippine political violence,anger
741,Gunmen kill 21 in Philippine political violence,sadness
742,HAYDEN¡¯S DAD BEAT MA: COPS,disgust
743,HAYDEN¡¯S DAD BEAT MA: COPS,neutral
744,HEAD OF FEMUR "Hysterica ...,neutral
745,HEAD OF FEMUR "Hysterica ...,neutral
746,HE¡¯S BAAAACK: Obama SLAMS Trump Over Immigration/Refugee Executive Order,anger
747,HE¡¯S BAAAACK: Obama SLAMS Trump Over Immigration/Refugee Executive Order,joy
748,HHS tries to clamp down on unannounced lawmaker visits to child detention centers,neutral
749,HHS tries to clamp down on unannounced lawmaker visits to child detention centers,neutral
750,HS cross country: Historic ending ¡ª Soda Springs girls win record 11th consecutive state title,joy
751,HS cross country: Historic ending ¡ª Soda Springs girls win record 11th consecutive state title,joy
752,Hamilton's 3 points leads Flames to 5-2 win over Senators,neutral
753,Hamilton's 3 points leads Flames to 5-2 win over Senators,neutral
754,"Hands-On Approach, From Afar",neutral
755,"Hands-On Approach, From Afar",joy
756,Happy Three Kings Day! Families Celebrate Across U.S.   ,joy
757,Happy Three Kings Day! Families Celebrate Across U.S.   ,joy
758,Harrison re-elected to lead Lutheran Church-Missouri Synod,neutral
759,Harrison re-elected to lead Lutheran Church-Missouri Synod,neutral
760,Harrison twins staying at Kentucky,neutral
761,Harrison twins staying at Kentucky,neutral
762,Harwich fire: Work to start on rebuilding damaged homes,neutral
763,Harwich fire: Work to start on rebuilding damaged homes,neutral
764,Hat's not the way to do it: Naomi Watts and Liev Schreiber forget their safety helmets as they take boys out for a bike ride,disgust
765,Hat's not the way to do it: Naomi Watts and Liev Schreiber forget their safety helmets as they take boys out for a bike ride,disgust
766,Heating things up! Charlie Hunnam gets sweaty on Sons Of Anarchy set while filming scenes for final season,joy
767,Heating things up! Charlie Hunnam gets sweaty on Sons Of Anarchy set while filming scenes for final season,neutral
768,Heavy Burden,sadness
769,Heavy Burden,fear
770,Hedge Funds Abandon Bearish Treasury Market Bets From a Year Ago,neutral
771,Hedge Funds Abandon Bearish Treasury Market Bets From a Year Ago,neutral
772,Here's Donald Trump's inaugural lunch menu,neutral
773,Here's Donald Trump's inaugural lunch menu,disgust
774,Here's The First 'Hunger Games: Mockingjay,joy
775,Here's The First 'Hunger Games: Mockingjay,joy
776,Here's a Shopping List for Apple After the Beats Buy,neutral
777,Here's a Shopping List for Apple After the Beats Buy,neutral
778,Here's the San Juan mayor's vulgar response to her exchanges with Trump,disgust
779,Here's the San Juan mayor's vulgar response to her exchanges with Trump,disgust
780,Here¡¯s The Conclusive Proof The New York Times Hates Christianity and Loves Islam,disgust
781,Here¡¯s The Conclusive Proof The New York Times Hates Christianity and Loves Islam,anger
782,Here¡¯s Why the Dems Will Cave on Verification of Illegals,anger
783,Here¡¯s Why the Dems Will Cave on Verification of Illegals,surprise
784,"Hey, Can Bob McDonnell Start Early?",joy
785,"Hey, Can Bob McDonnell Start Early?",neutral
786,Hiccup ahead,neutral
787,Hiccup ahead,neutral
788,High Point seeks revenge on Radford,joy
789,High Point seeks revenge on Radford,neutral
790,High School Student Targeted for ¡®Racist¡¯ Tweet. It Wasn¡¯t Racist. The Country¡¯s Going Insane.,disgust
791,High School Student Targeted for ¡®Racist¡¯ Tweet. It Wasn¡¯t Racist. The Country¡¯s Going Insane.,anger
792,"High fuel costs help Northwest, Delta lose $10.5B",anger
793,"High fuel costs help Northwest, Delta lose $10.5B",neutral
794,Highly Unlikely,anger
795,Highly Unlikely,neutral
796,Hill GOP braces for Trump,anger
797,Hill GOP braces for Trump,disgust
798,Hillary Clinton Praises Mother In First TV Ads of 2016,joy
799,Hillary Clinton Praises Mother In First TV Ads of 2016,neutral
800,Hillary Clinton and Bernie Sanders Spar on Middle Class Taxes,neutral
801,Hillary Clinton and Bernie Sanders Spar on Middle Class Taxes,anger
802,"Hillary Clinton, the Hiroo Onoda of American Politics",sadness
803,"Hillary Clinton, the Hiroo Onoda of American Politics",neutral
804,Hillary¡¯s Islamophilia,disgust
805,Hillary¡¯s Islamophilia,neutral
806,Hillicon Valley: Trump stuns with election interference claim against China | FCC limits fees for 5G | Uber reaches $148M settlement over breach | Fox sells Sky stake to Comcast | House passes bills to fix cyber vulnerabilities,neutral
807,Hillicon Valley: Trump stuns with election interference claim against China | FCC limits fees for 5G | Uber reaches $148M settlement over breach | Fox sells Sky stake to Comcast | House passes bills to fix cyber vulnerabilities,sadness
808,Hochtief likely to call off Concessions IPO-sources,fear
809,Hochtief likely to call off Concessions IPO-sources,surprise
810,"Horse spooked by umbrella crashes into cars, injures passengers",surprise
811,"Horse spooked by umbrella crashes into cars, injures passengers",fear
812,House Democrats Announce Investigation of Pence¡¯s Ireland Trip,surprise
813,House Democrats Announce Investigation of Pence¡¯s Ireland Trip,surprise
814,House Rules,neutral
815,House Rules,neutral
816,House Votes on Child Nutrition Today,disgust
817,House Votes on Child Nutrition Today,fear
818,How Bernie Helped Spark the Teachers¡¯ Revolt,joy
819,How Bernie Helped Spark the Teachers¡¯ Revolt,fear
820,How California Gave Us Trumpism,disgust
821,How California Gave Us Trumpism,fear
822,How Did A Medical Miracle Turn Into A Global Threat?,neutral
823,How Did A Medical Miracle Turn Into A Global Threat?,fear
824,How Earthquake Scientists In Missouri Stumbled On Military Blasts in Iraq,surprise
825,How Earthquake Scientists In Missouri Stumbled On Military Blasts in Iraq,surprise
826,How Essential Oils Became the Cure for Our Age of Anxiety,neutral
827,How Essential Oils Became the Cure for Our Age of Anxiety,neutral
828,How Humans Created Cats,neutral
829,How Humans Created Cats,surprise
830,How Jeremy Corbyn Can Win,neutral
831,How Jeremy Corbyn Can Win,neutral
832,How Little Known Andrew Yang May End Up on the 2020 Debate Stage by Gaming the System,sadness
833,How Little Known Andrew Yang May End Up on the 2020 Debate Stage by Gaming the System,neutral
834,How Ronald Reagan Helped Poland Overthrow The Evil Empire,neutral
835,How Ronald Reagan Helped Poland Overthrow The Evil Empire,neutral
836,How The Blind See,surprise
837,How The Blind See,surprise
838,How WWI Helped Set the Stage for Iraq's Troubles,neutral
839,How WWI Helped Set the Stage for Iraq's Troubles,sadness
840,How a Radical Lawyer Set for Prison Joined Longtime U.S. Gov¡¯t Foe in Failed Bid to Free a Hostage,surprise
841,How a Radical Lawyer Set for Prison Joined Longtime U.S. Gov¡¯t Foe in Failed Bid to Free a Hostage,neutral
842,How parents tackle bedtime around the world,neutral
843,How parents tackle bedtime around the world,surprise
844,How the U.S. Can End the Syrian Civil War,neutral
845,How the U.S. Can End the Syrian Civil War,neutral
846,How to Fire an Incompetent Teacher,anger
847,How to Fire an Incompetent Teacher,neutral
848,How to Fulfill the Promise of Online Education,neutral
849,How to Fulfill the Promise of Online Education,neutral
850,How to pick a running mate -- and how not to,neutral
851,How to pick a running mate -- and how not to,neutral
852,"Hughes, Twins blank Mariners",surprise
853,"Hughes, Twins blank Mariners",neutral
854,"Humans and AI will work together in almost every job, PARC CEO Tolga Kurtoglu says",fear
855,"Humans and AI will work together in almost every job, PARC CEO Tolga Kurtoglu says",neutral
856,"Hundreds of police call handlers are fired or disciplined for terminating emergency calls, handing out sensitive information to the public and harassing victims",anger
857,"Hundreds of police call handlers are fired or disciplined for terminating emergency calls, handing out sensitive information to the public and harassing victims",anger
858,I Dialed a Wrong Number and Stumbled Into International Phone Fraud,neutral
859,I Dialed a Wrong Number and Stumbled Into International Phone Fraud,surprise
860,I Love California Deeply: Here¡¯s Why I¡¯m One of the Hundreds of Thousands Who Left to Move North,joy
861,I Love California Deeply: Here¡¯s Why I¡¯m One of the Hundreds of Thousands Who Left to Move North,sadness
862,ICYMI: Plastic whale and a new Bond baddie,neutral
863,ICYMI: Plastic whale and a new Bond baddie,neutral
864,"IRS Collects Taxes, Dispenses Fear",disgust
865,"IRS Collects Taxes, Dispenses Fear",fear
866,Imprensa ensaia opera??o abafa diante de suposta estabilidade econ?mica evocada por Temer,neutral
867,Imprensa ensaia opera??o abafa diante de suposta estabilidade econ?mica evocada por Temer,neutral
868,"In Apparent 'Error,' Russian Figure Skater's Auschwitz-Themed Outfit Makes Shortlist for International Skating Union's 'Best Costume' Award",neutral
869,"In Apparent 'Error,' Russian Figure Skater's Auschwitz-Themed Outfit Makes Shortlist for International Skating Union's 'Best Costume' Award",disgust
870,"In China, Property Frenzy, Fake Divorces and a Bloating Bubble",neutral
871,"In China, Property Frenzy, Fake Divorces and a Bloating Bubble",neutral
872,"In Communist Vietnam: Churches Growing, Christian Businesses Thriving",surprise
873,"In Communist Vietnam: Churches Growing, Christian Businesses Thriving",joy
874,"In Controversial Move, Obama Designates More Than 1 Million Acres in West as National Monument",neutral
